label,count,precision_Int_ResGAT,precision_ESM-3,recall_Int_ResGAT,recall_ESM-3,bin
0,0,0.0,0.0,0.0,0.0,0-5
1,116,0.8541666666666666,1.0,0.7068965517241379,0.02586206896551724,100-500
2,3,1.0,0.0,1.0,0.0,0-5
3,0,0.0,0.0,0.0,0.0,0-5
4,1,1.0,0.0,1.0,0.0,0-5
5,0,0.0,0.0,0.0,0.0,0-5
6,3,1.0,0.0,1.0,0.0,0-5
7,0,0.0,0.0,0.0,0.0,0-5
8,1,1.0,0.0,1.0,0.0,0-5
9,3,0.0,0.0,0.0,0.0,0-5
10,1,1.0,0.0,1.0,0.0,0-5
11,1,1.0,0.0,1.0,0.0,0-5
12,22,0.9130434782608695,0.6956521739130435,0.9545454545454546,0.7272727272727273,10-50
13,3,1.0,0.0,1.0,0.0,0-5
14,13,0.7692307692307693,0.30952380952380953,0.7692307692307693,1.0,10-50
15,2,0.0,0.0,0.0,0.0,0-5
16,1,1.0,0.0,1.0,0.0,0-5
17,2,1.0,0.0,1.0,0.0,0-5
18,8,0.8888888888888888,0.0,1.0,0.0,5-10
19,1,0.5,0.02127659574468085,1.0,1.0,0-5
20,1,0.0,0.0,0.0,0.0,0-5
21,2,1.0,0.5,1.0,1.0,0-5
22,71,1.0,1.0,1.0,1.0,50-100
23,0,0.0,0.0,0.0,0.0,0-5
24,3,0.5,0.0,0.6666666666666666,0.0,0-5
25,1,0.5,0.0,1.0,0.0,0-5
26,1,0.5,0.0,1.0,0.0,0-5
27,2,1.0,0.0,1.0,0.0,0-5
28,0,0.0,0.0,0.0,0.0,0-5
29,9,1.0,1.0,1.0,1.0,5-10
30,4,1.0,0.6666666666666666,1.0,1.0,0-5
31,2,1.0,0.0,0.5,0.0,0-5
32,1,0.5,0.0,1.0,0.0,0-5
33,3,0.25,0.15789473684210525,0.6666666666666666,1.0,0-5
34,5,0.8333333333333334,0.0,1.0,0.0,5-10
35,2,0.0,0.0,0.0,0.0,0-5
36,0,0.0,0.0,0.0,0.0,0-5
37,2,0.0,0.0,0.0,0.0,0-5
38,1,1.0,0.0,1.0,0.0,0-5
39,8,1.0,1.0,1.0,1.0,5-10
40,7,1.0,1.0,1.0,1.0,5-10
41,2,1.0,0.0,1.0,0.0,0-5
42,3,0.5,0.0,0.3333333333333333,0.0,0-5
43,4,1.0,0.0,1.0,0.0,0-5
44,1,0.0,0.0,0.0,0.0,0-5
45,0,0.0,0.0,0.0,0.0,0-5
46,4,1.0,1.0,1.0,1.0,0-5
47,1,1.0,0.05555555555555555,1.0,1.0,0-5
48,0,0.0,0.0,0.0,0.0,0-5
49,0,0.0,0.0,0.0,0.0,0-5
50,1,1.0,0.0,1.0,0.0,0-5
51,1,1.0,0.0,1.0,0.0,0-5
52,23,0.9565217391304348,0.696969696969697,0.9565217391304348,1.0,10-50
53,0,0.0,0.0,0.0,0.0,0-5
54,1,1.0,0.0,1.0,0.0,0-5
55,3,1.0,0.038461538461538464,0.6666666666666666,0.3333333333333333,0-5
56,0,0.0,0.0,0.0,0.0,0-5
57,0,0.0,0.0,0.0,0.0,0-5
58,0,0.0,0.0,0.0,0.0,0-5
59,3,1.0,0.0,1.0,0.0,0-5
60,20,1.0,1.0,1.0,0.9,10-50
61,54,1.0,0.9,1.0,1.0,50-100
62,0,0.0,0.0,0.0,0.0,0-5
63,1,1.0,0.0,1.0,0.0,0-5
64,1,1.0,0.0,1.0,0.0,0-5
65,0,0.0,0.0,0.0,0.0,0-5
66,1,1.0,0.0,1.0,0.0,0-5
67,147,1.0,0.9932432432432432,1.0,1.0,100-500
68,15,0.9375,0.8333333333333334,1.0,1.0,10-50
69,1,1.0,0.0,1.0,0.0,0-5
70,5,1.0,0.0,0.6,0.0,5-10
71,1,1.0,0.0,1.0,0.0,0-5
72,96,0.979381443298969,1.0,0.9895833333333334,0.96875,50-100
73,5,1.0,0.0,1.0,0.0,5-10
74,0,0.0,0.0,0.0,0.0,0-5
75,5,0.8333333333333334,1.0,1.0,1.0,5-10
76,8,0.8,0.0,1.0,0.0,5-10
77,4,0.8,0.0,1.0,0.0,0-5
78,1,0.0,0.0,0.0,0.0,0-5
79,45,1.0,0.9183673469387755,1.0,1.0,10-50
80,1,0.5,0.0,1.0,0.0,0-5
81,1,0.5,0.0,1.0,0.0,0-5
82,11,1.0,1.0,1.0,0.36363636363636365,10-50
83,3,1.0,0.0,0.6666666666666666,0.0,0-5
84,7,0.875,0.16666666666666666,1.0,0.42857142857142855,5-10
85,0,0.0,0.0,0.0,0.0,0-5
86,5,0.7142857142857143,0.0,1.0,0.0,5-10
87,26,0.9629629629629629,0.9629629629629629,1.0,1.0,10-50
88,8,0.8,0.0,1.0,0.0,5-10
89,6,1.0,0.75,1.0,1.0,5-10
90,11,0.9166666666666666,0.4583333333333333,1.0,1.0,10-50
91,3,0.75,0.0,1.0,0.0,0-5
92,3,0.75,0.0,1.0,0.0,0-5
93,2,0.6666666666666666,0.4,1.0,1.0,0-5
94,18,1.0,0.8571428571428571,1.0,1.0,10-50
95,1,0.0,0.0,0.0,0.0,0-5
96,41,1.0,1.0,1.0,1.0,10-50
97,2,0.6666666666666666,0.0,1.0,0.0,0-5
98,1,0.0,0.0,0.0,0.0,0-5
99,0,0.0,0.0,0.0,0.0,0-5
100,171,0.9940119760479041,0.9395604395604396,0.9707602339181286,1.0,100-500
101,0,0.0,0.0,0.0,0.0,0-5
102,2,1.0,0.0,1.0,0.0,0-5
103,39,0.9743589743589743,0.8125,0.9743589743589743,1.0,10-50
104,2,0.0,0.0,0.0,0.0,0-5
105,2,1.0,0.0,0.5,0.0,0-5
106,1,0.0,0.0,0.0,0.0,0-5
107,5,0.8333333333333334,0.2,1.0,0.2,5-10
108,4,1.0,1.0,1.0,1.0,0-5
109,8,0.8888888888888888,1.0,1.0,0.125,5-10
110,1,1.0,0.0,1.0,0.0,0-5
111,21,1.0,1.0,1.0,1.0,10-50
112,7,1.0,0.0,0.7142857142857143,0.0,5-10
113,21,0.9545454545454546,0.9545454545454546,1.0,1.0,10-50
114,0,0.0,0.0,0.0,0.0,0-5
115,0,0.0,0.0,0.0,0.0,0-5
116,0,0.0,0.0,0.0,0.0,0-5
117,1,1.0,0.0,1.0,0.0,0-5
118,1,1.0,0.0,1.0,0.0,0-5
119,3,1.0,0.0,0.3333333333333333,0.0,0-5
120,35,0.9210526315789473,0.5932203389830508,1.0,1.0,10-50
121,0,0.0,0.0,0.0,0.0,0-5
122,12,0.9166666666666666,1.0,0.9166666666666666,1.0,10-50
123,1,0.0,0.0,0.0,0.0,0-5
124,2,1.0,0.0,1.0,0.0,0-5
125,180,0.989010989010989,0.989010989010989,1.0,1.0,100-500
126,172,0.9942196531791907,0.9942196531791907,1.0,1.0,100-500
127,4,1.0,0.0,0.75,0.0,0-5
128,0,0.0,0.0,0.0,0.0,0-5
129,0,0.0,0.0,0.0,0.0,0-5
130,3,1.0,0.0,0.6666666666666666,0.0,0-5
131,3,0.0,0.0,0.0,0.0,0-5
132,1,0.25,0.0,1.0,0.0,0-5
133,3,1.0,1.0,1.0,1.0,0-5
134,3,1.0,0.0,1.0,0.0,0-5
135,5,1.0,0.5,1.0,1.0,5-10
136,1,1.0,0.0,1.0,0.0,0-5
137,0,0.0,0.0,0.0,0.0,0-5
138,4,1.0,0.0,1.0,0.0,0-5
139,2,1.0,0.0,1.0,0.0,0-5
140,0,0.0,0.0,0.0,0.0,0-5
141,4,1.0,0.0,1.0,0.0,0-5
142,2,1.0,0.0,1.0,0.0,0-5
143,8,1.0,0.8888888888888888,1.0,1.0,5-10
144,6,0.8,0.0,0.6666666666666666,0.0,5-10
145,1,1.0,0.0,1.0,0.0,0-5
146,36,1.0,0.9,1.0,1.0,10-50
147,2,1.0,0.0,1.0,0.0,0-5
148,17,0.55,0.0,0.6470588235294118,0.0,10-50
149,4,1.0,0.0,1.0,0.0,0-5
150,5,1.0,0.0,1.0,0.0,5-10
151,0,0.0,0.0,0.0,0.0,0-5
152,4,1.0,0.5714285714285714,1.0,1.0,0-5
153,2,1.0,0.0,0.5,0.0,0-5
154,0,0.0,0.0,0.0,0.0,0-5
155,0,0.0,0.0,0.0,0.0,0-5
156,108,1.0,0.907563025210084,1.0,1.0,100-500
157,57,0.9782608695652174,1.0,0.7894736842105263,0.2631578947368421,50-100
158,1,0.0,0.0,0.0,0.0,0-5
159,4,0.5714285714285714,0.3333333333333333,1.0,1.0,0-5
160,0,0.0,0.0,0.0,0.0,0-5
161,8,0.8888888888888888,0.17391304347826086,1.0,1.0,5-10
162,1,1.0,0.0,1.0,0.0,0-5
163,2,1.0,0.0,1.0,0.0,0-5
164,1,0.3333333333333333,0.0,1.0,0.0,0-5
165,18,1.0,0.6538461538461539,1.0,0.9444444444444444,10-50
166,3,1.0,0.0,1.0,0.0,0-5
167,39,1.0,0.8666666666666667,1.0,1.0,10-50
168,43,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,10-50
169,0,0.0,0.0,0.0,0.0,0-5
170,1,1.0,0.0,1.0,0.0,0-5
171,9,0.8181818181818182,0.5625,1.0,1.0,5-10
172,4,1.0,0.0,1.0,0.0,0-5
173,0,0.0,0.0,0.0,0.0,0-5
174,14,1.0,1.0,1.0,1.0,10-50
175,20,1.0,0.9523809523809523,1.0,1.0,10-50
176,1,1.0,0.0,1.0,0.0,0-5
177,3,0.6,0.0,1.0,0.0,0-5
178,4,1.0,0.0,0.75,0.0,0-5
179,2,1.0,0.2857142857142857,1.0,1.0,0-5
180,3,1.0,1.0,1.0,1.0,0-5
181,3,1.0,0.0,1.0,0.0,0-5
182,1,1.0,1.0,1.0,1.0,0-5
183,0,0.0,0.0,0.0,0.0,0-5
184,15,0.9375,1.0,1.0,1.0,10-50
185,3,1.0,0.42857142857142855,1.0,1.0,0-5
186,3,1.0,0.0,1.0,0.0,0-5
187,1,1.0,0.0,1.0,0.0,0-5
188,5,1.0,0.0,1.0,0.0,5-10
189,1,0.0,0.0,0.0,0.0,0-5
190,6,1.0,1.0,1.0,1.0,5-10
191,4,1.0,0.0,1.0,0.0,0-5
192,1,1.0,0.0,1.0,0.0,0-5
193,158,0.9937106918238994,1.0,1.0,1.0,100-500
194,2,0.6666666666666666,0.25,1.0,1.0,0-5
195,53,0.9454545454545454,0.8125,0.9811320754716981,0.24528301886792453,50-100
196,1,0.5,0.05,1.0,1.0,0-5
197,141,1.0,1.0,1.0,0.9929078014184397,100-500
198,7,1.0,0.7,1.0,1.0,5-10
199,18,1.0,0.782608695652174,1.0,1.0,10-50
200,5,0.25,0.0,0.2,0.0,5-10
201,12,0.9166666666666666,0.11764705882352941,0.9166666666666666,1.0,10-50
202,1,0.0,0.0,0.0,0.0,0-5
203,3,1.0,0.0,0.3333333333333333,0.0,0-5
204,1,0.0,0.0,0.0,0.0,0-5
205,1,0.0,0.0,0.0,0.0,0-5
206,0,0.0,0.0,0.0,0.0,0-5
207,45,0.9772727272727273,0.8490566037735849,0.9555555555555556,1.0,10-50
208,1,1.0,0.0,1.0,0.0,0-5
209,4,1.0,0.03305785123966942,1.0,1.0,0-5
210,3,0.5,0.0,0.6666666666666666,0.0,0-5
211,23,1.0,1.0,1.0,0.8695652173913043,10-50
212,70,0.9855072463768116,0.6666666666666666,0.9714285714285714,1.0,50-100
213,9,0.8,0.0,0.8888888888888888,0.0,5-10
214,3,1.0,0.0,1.0,0.0,0-5
215,2,0.0,0.0,0.0,0.0,0-5
216,1,0.0,0.0,0.0,0.0,0-5
217,5,0.625,0.0,1.0,0.0,5-10
218,2,1.0,0.0,1.0,0.0,0-5
219,0,0.0,0.0,0.0,0.0,0-5
220,2,0.5,0.08695652173913043,0.5,1.0,0-5
221,0,0.0,0.0,0.0,0.0,0-5
222,18,1.0,0.8181818181818182,1.0,1.0,10-50
223,0,0.0,0.0,0.0,0.0,0-5
224,2,1.0,0.0,1.0,0.0,0-5
225,36,0.8125,0.0,0.7222222222222222,0.0,10-50
226,1,1.0,0.0,1.0,0.0,0-5
227,4,0.6666666666666666,0.0,0.5,0.0,0-5
228,111,1.0,0.0,1.0,0.0,100-500
229,1,1.0,0.0,1.0,0.0,0-5
230,2,1.0,0.0,1.0,0.0,0-5
231,0,0.0,0.0,0.0,0.0,0-5
232,1,0.5,0.0,1.0,0.0,0-5
233,0,0.0,0.0,0.0,0.0,0-5
234,2,0.0,0.0,0.0,0.0,0-5
235,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0-5
236,1,0.0,0.0,0.0,0.0,0-5
237,2,0.5,0.0,0.5,0.0,0-5
238,21,1.0,1.0,1.0,0.7619047619047619,10-50
239,184,0.9945945945945946,1.0,1.0,1.0,100-500
240,41,1.0,1.0,1.0,1.0,10-50
241,23,1.0,0.0,1.0,0.0,10-50
242,5,0.5555555555555556,0.0,1.0,0.0,5-10
243,38,0.8571428571428571,0.0,0.9473684210526315,0.0,10-50
244,16,1.0,1.0,1.0,1.0,10-50
245,1,1.0,0.0,1.0,0.0,0-5
246,3,1.0,0.0,1.0,0.0,0-5
247,1,0.0,0.0,0.0,0.0,0-5
248,0,0.0,0.0,0.0,0.0,0-5
249,5,1.0,1.0,1.0,1.0,5-10
250,1,1.0,1.0,1.0,1.0,0-5
251,5,1.0,1.0,1.0,0.6,5-10
252,0,0.0,0.0,0.0,0.0,0-5
253,2,1.0,0.5,1.0,1.0,0-5
254,7,1.0,0.2692307692307692,1.0,1.0,5-10
255,3,1.0,0.3,0.6666666666666666,1.0,0-5
256,1,0.2,0.0,1.0,0.0,0-5
257,4,1.0,0.0,0.25,0.0,0-5
258,0,0.0,0.0,0.0,0.0,0-5
259,0,0.0,0.0,0.0,0.0,0-5
260,39,0.9,0.8846153846153846,0.6923076923076923,0.5897435897435898,10-50
261,2,0.0,0.0,0.0,0.0,0-5
262,14,1.0,0.8235294117647058,1.0,1.0,10-50
263,9,1.0,1.0,1.0,1.0,5-10
264,6,1.0,1.0,1.0,1.0,5-10
265,3,1.0,0.0,1.0,0.0,0-5
266,4,1.0,0.0,1.0,0.0,0-5
267,30,0.8571428571428571,0.7142857142857143,1.0,1.0,10-50
268,2,1.0,1.0,1.0,1.0,0-5
269,1,1.0,0.0,1.0,0.0,0-5
270,2,1.0,0.0,1.0,0.0,0-5
271,0,0.0,0.0,0.0,0.0,0-5
272,2,0.4,0.18181818181818182,1.0,1.0,0-5
273,1,0.5,0.0,1.0,0.0,0-5
274,1,0.0,0.0,0.0,0.0,0-5
275,0,0.0,0.0,0.0,0.0,0-5
276,37,1.0,1.0,1.0,1.0,10-50
277,0,0.0,0.0,0.0,0.0,0-5
278,8,1.0,0.0,1.0,0.0,5-10
279,0,0.0,0.0,0.0,0.0,0-5
280,35,0.9615384615384616,0.9210526315789473,0.7142857142857143,1.0,10-50
281,1,1.0,0.0,1.0,0.0,0-5
282,155,1.0,1.0,1.0,1.0,100-500
283,2,1.0,1.0,1.0,1.0,0-5
284,2,0.5,0.0,0.5,0.0,0-5
285,67,1.0,1.0,1.0,1.0,50-100
286,2,0.5,0.4,0.5,1.0,0-5
287,0,0.0,0.0,0.0,0.0,0-5
288,10,1.0,0.7142857142857143,1.0,1.0,10-50
289,128,0.9696969696969697,1.0,1.0,1.0,100-500
290,24,1.0,0.96,1.0,1.0,10-50
291,0,0.0,0.0,0.0,0.0,0-5
292,2,1.0,0.0,1.0,0.0,0-5
293,2,1.0,0.0,1.0,0.0,0-5
294,0,0.0,0.0,0.0,0.0,0-5
295,1,1.0,0.0,1.0,0.0,0-5
296,0,0.0,0.0,0.0,0.0,0-5
297,2,0.0,0.0,0.0,0.0,0-5
298,2,1.0,0.0,1.0,0.0,0-5
299,2,1.0,0.125,1.0,1.0,0-5
300,4,1.0,0.0,1.0,0.0,0-5
301,0,0.0,0.0,0.0,0.0,0-5
302,0,0.0,0.0,0.0,0.0,0-5
303,1,0.0,0.0,0.0,0.0,0-5
304,12,1.0,0.0,0.8333333333333334,0.0,10-50
305,14,1.0,0.6086956521739131,1.0,1.0,10-50
306,1,0.0,0.0,0.0,0.0,0-5
307,2,1.0,0.0,0.5,0.0,0-5
308,12,1.0,0.8461538461538461,0.9166666666666666,0.9166666666666666,10-50
309,3,0.0,0.0,0.0,0.0,0-5
310,2,1.0,1.0,1.0,1.0,0-5
311,7,0.8333333333333334,1.0,0.7142857142857143,0.14285714285714285,5-10
312,0,0.0,0.0,0.0,0.0,0-5
313,16,1.0,0.6956521739130435,1.0,1.0,10-50
314,2,1.0,0.0,0.5,0.0,0-5
315,9,1.0,0.3103448275862069,0.8888888888888888,1.0,5-10
316,12,0.9230769230769231,0.0,1.0,0.0,10-50
317,0,0.0,0.0,0.0,0.0,0-5
318,0,0.0,0.0,0.0,0.0,0-5
319,2,0.0,0.0,0.0,0.0,0-5
320,14,1.0,1.0,1.0,1.0,10-50
321,8,1.0,0.7272727272727273,0.875,1.0,5-10
322,0,0.0,0.0,0.0,0.0,0-5
323,5,0.5714285714285714,0.0,0.8,0.0,5-10
324,1,1.0,0.0,1.0,0.0,0-5
325,2,1.0,0.0,1.0,0.0,0-5
326,2,1.0,0.0,1.0,0.0,0-5
327,5,1.0,1.0,1.0,0.6,5-10
328,0,0.0,0.0,0.0,0.0,0-5
329,6,1.0,1.0,1.0,0.8333333333333334,5-10
330,2,1.0,0.0,1.0,0.0,0-5
331,1,1.0,1.0,1.0,1.0,0-5
332,2,1.0,0.0,1.0,0.0,0-5
333,4,1.0,0.0,1.0,0.0,0-5
334,4,0.8,0.0,1.0,0.0,0-5
335,4,1.0,1.0,1.0,1.0,0-5
336,1,0.3333333333333333,0.0,1.0,0.0,0-5
337,126,1.0,0.9197080291970803,1.0,1.0,100-500
338,69,0.9855072463768116,1.0,0.9855072463768116,0.855072463768116,50-100
339,9,1.0,0.0,1.0,0.0,5-10
