pdb_id,ec_numbers,uniprot_id
4k35,3.2.1.39,A0A023I7E1
5xc2,3.2.1.39,A0A023I7E1
4k3a,3.2.1.39,A0A023I7E1
5xbz,3.2.1.39,A0A023I7E1
4psd,3.1.1.74,A0A024SC78
4psc,3.1.1.74,A0A024SC78
4pse,3.1.1.74,A0A024SC78
4r1s,1.2.1.44,A0A059TC02
4r1t,1.2.1.44,A0A059TC02
4zic,1.2.1.11,A0A080WMA9
4zhs,1.2.1.11,A0A080WMA9
8xte,2.1.1.-,A0A0B5L781
8xtf,2.1.1.-,A0A0B5L781
8xtg,2.1.1.-,A0A0B5L781
7dbl,3.1.1.-,A0A0B5LB55
7dbi,3.1.1.-,A0A0B5LB55
4q6x,4.6.1.-,A0A0D4WV12
9ozo,4.6.1.-,A0A0D4WV12
9ozs,4.6.1.-,A0A0D4WV12
9die,4.6.1.-,A0A0D4WV12
6g96,2.3.1.-,A0A0F6B5X4
7zg5,2.3.1.-,A0A0F6B5X4
7ak9,2.3.1.-,A0A0F6B5X4
7ak8,2.3.1.-,A0A0F6B8D8
5fvj,2.3.1.-,A0A0F6B8D8
8j6k,4.3.99.-,A0A0H2US87
7wr4,4.3.99.-,A0A0H2US87
7wr5,4.3.99.-,A0A0H2US87
7wr1,4.3.99.-,A0A0H2US87
7wr3,4.3.99.-,A0A0H2US87
7wr2,4.3.99.-,A0A0H2US87
9g09,2.3.2.27,A0A0H2USC0
7ya8,2.3.2.27,A0A0H2USC0
7v8e,2.3.2.27,A0A0H2USG1
9g08,2.3.2.27,A0A0H2USG1
7v8h,2.3.2.27,A0A0H2USG1
9jwg,2.3.2.27,A0A0H2USG1
7v8g,2.3.2.27,A0A0H2USG1
7ya7,2.3.2.27,A0A0H2USG1
5n9m,3.5.1.2;6.3.5.13,A0A0H2WZ38
7q8e,3.5.1.2;6.3.5.13,A0A0H2WZ38
2m3v,3.1.3.16;3.1.3.48,A0A0H2ZFK2
6h5e,3.5.1.2;6.3.5.13,A0A0H3JN63
6gs2,3.5.1.2;6.3.5.13,A0A0H3JN63
6h4f,2.4.1.-,A0A0H3JNB0
6h2n,2.4.1.-,A0A0H3JNB0
6h1j,2.4.1.-,A0A0H3JNB0
6hnq,2.4.1.-,A0A0H3JNB0
6h4m,2.4.1.-,A0A0H3JNB0
6h21,2.4.1.-,A0A0H3JNB0
6gs2,6.3.5.13,A0A0H3JUU7
6h5e,6.3.5.13,A0A0H3JUU7
9lmu,3.1.1.101,A0A0K8P6T7
5xh2,3.1.1.101,A0A0K8P6T7
6ilw,3.1.1.101,A0A0K8P6T7
6ilx,3.1.1.101,A0A0K8P6T7
5xjh,3.1.1.101,A0A0K8P6T7
8vek,3.1.1.101,A0A0K8P6T7
8vem,3.1.1.101,A0A0K8P6T7
8h5j,3.1.1.101,A0A0K8P6T7
5yns,3.1.1.101,A0A0K8P6T7
8gu4,3.1.1.101,A0A0K8P6T7
5xfy,3.1.1.101,A0A0K8P6T7
5xg0,3.1.1.101,A0A0K8P6T7
8d1d,3.1.1.101,A0A0K8P6T7
8h83,3.1.1.101,A0A0K8P6T7
9lmw,3.1.1.101,A0A0K8P6T7
7cy0,3.1.1.101,A0A0K8P6T7
6eqf,3.1.1.101,A0A0K8P6T7
6qgc,3.1.1.101,A0A0K8P6T7
9lms,3.1.1.101,A0A0K8P6T7
6ij4,3.1.1.101,A0A0K8P6T7
8gu5,3.1.1.101,A0A0K8P6T7
5yfe,3.1.1.101,A0A0K8P6T7
7sh6,3.1.1.101,A0A0K8P6T7
9lmx,3.1.1.101,A0A0K8P6T7
5xh3,3.1.1.101,A0A0K8P6T7
6kus,3.1.1.101,A0A0K8P6T7
8h5o,3.1.1.101,A0A0K8P6T7
8vel,3.1.1.101,A0A0K8P6T7
6ij6,3.1.1.101,A0A0K8P6T7
5xfz,3.1.1.101,A0A0K8P6T7
6eqe,3.1.1.101,A0A0K8P6T7
8h5l,3.1.1.101,A0A0K8P6T7
8ve9,3.1.1.101,A0A0K8P6T7
6ij3,3.1.1.101,A0A0K8P6T7
6ij5,3.1.1.101,A0A0K8P6T7
7vwn,3.1.1.101,A0A0K8P6T7
6eqh,3.1.1.101,A0A0K8P6T7
6kuo,3.1.1.101,A0A0K8P6T7
7cqb,3.1.1.101,A0A0K8P6T7
7qvh,3.1.1.101,A0A0K8P6T7
8h5k,3.1.1.101,A0A0K8P6T7
6ane,3.1.1.101,A0A0K8P6T7
7osb,3.1.1.101,A0A0K8P6T7
6eqd,3.1.1.101,A0A0K8P6T7
6eqg,3.1.1.101,A0A0K8P6T7
8cru,3.1.1.101,A0A0K8P6T7
6kuq,3.1.1.101,A0A0K8P6T7
8j17,3.1.1.101,A0A0K8P6T7
9lmt,3.1.1.101,A0A0K8P6T7
7xtw,3.1.1.101,A0A0K8P6T7
8j5n,3.1.1.101,A0A0K8P6T7
8h5m,3.1.1.101,A0A0K8P6T7
9lmv,3.1.1.101,A0A0K8P6T7
6ky5,3.1.1.101,A0A0K8P6T7
8j45,3.1.1.101,A0A0K8P6T7
7vs7,2.7.11.1,A0A0P0XII1
6rnh,3.1.3.99,A0A144A134
6rmo,3.1.3.99,A0A144A134
6rme,3.1.3.99,A0A144A134
6rmw,3.1.3.99,A0A144A134
6rmd,3.1.3.99,A0A144A134
6rn1,3.1.3.99,A0A144A134
6c5b,2.1.1.-,A0A172J1V3
6jox,4.2.3.3;5.3.1.1,A0A1L5YRA2
5gz5,3.6.1.-,A0A2D0TC04
7cba,3.6.1.-,A0A2D0TC04
5gz4,3.6.1.-,A0A2D0TC04
8zg1,5.4.99.-,A0A2P2GK84
8zgv,5.4.99.-,A0A2P2GK84
7xr7,5.4.99.-,A0A2P2GK84
7xq4,5.4.99.-,A0A2P2GK84
8zg5,5.4.99.-,A0A2P2GK84
7xru,5.4.99.-,A0A2P2GK84
8zg0,5.4.99.-,A0A2P2GK84
8zgw,5.4.99.-,A0A2P2GK84
7xqz,5.4.99.-,A0A2P2GK84
7xra,5.4.99.-,A0A2P2GK84
5n0p,2.1.1.-,A0A2R2JFI5
5n0v,2.1.1.-,A0A2R2JFI5
6r00,2.1.1.-,A0A2R2JFI5
5n0s,2.1.1.-,A0A2R2JFI5
5n0o,2.1.1.-,A0A2R2JFI5
5n4i,2.1.1.-,A0A2R2JFI5
5n0t,2.1.1.-,A0A2R2JFI5
5n0u,2.1.1.-,A0A2R2JFI5
5n0w,2.1.1.-,A0A2R2JFI5
5n0q,2.1.1.-,A0A2R2JFI5
6gew,2.1.1.-,A0A2R2JFI5
5n0n,2.1.1.-,A0A2R2JFI5
6qzz,2.1.1.-,A0A2R2JFI5
6tsc,2.1.1.-,A0A2R2JFI5
5n0x,2.1.1.-,A0A2R2JFI5
5n0r,2.1.1.-,A0A2R2JFI5
5ouf,2.1.1.-,A0A2R2JFI5
6qzy,2.1.1.-,A0A2R2JFI5
7un9,3.2.2.5,A0A2T5Y4G4
7una,3.2.2.5,A0A2T5Y4G4
7un8,3.2.2.5,A0A2T5Y4G4
5iol,2.7.4.6,A0A3Q0KJ78
5iom,2.7.4.6,A0A3Q0KJ78
5kk8,2.7.4.6,A0A3Q0KJ78
6u4o,4.2.1.2,A0A3Q0KQY7
3q5i,2.7.11.1,A0A509AHB6
7nr1,4.1.2.-,A0A9J9HGY6
6r62,4.1.2.-,A0A9J9HGY6
8adq,4.1.2.-,A0A9J9HGY6
4mgg,4.2.1.171,A0NXQ8
8tjg,3.2.2.-;4.2.99.18,A0QT90
9hg0,1.7.1.7,A0QYE8
7r50,1.7.1.7,A0QYE8
8rya,1.7.1.7,A0QYE8
8ry1,1.7.1.7,A0QYE8
7oy9,1.7.1.7,A0QYE8
9hfz,1.7.1.7,A0QYE8
9hg1,1.7.1.7,A0QYE8
8ryb,1.7.1.7,A0QYE8
8ry5,1.7.1.7,A0QYE8
8ry6,1.7.1.7,A0QYE8
8ry4,1.7.1.7,A0QYE8
8ry0,1.7.1.7,A0QYE8
8ry7,1.7.1.7,A0QYE8
8ry9,1.7.1.7,A0QYE8
8ry8,1.7.1.7,A0QYE8
9hg3,1.7.1.7,A0QYE8
9hg2,1.7.1.7,A0QYE8
8ry3,1.7.1.7,A0QYE8
6pcm,5.6.2.1,A0R5D9
3zo9,3.2.1.1;5.4.99.16,A0R6E0
3zoa,3.2.1.1;5.4.99.16,A0R6E0
5jy7,3.2.1.1;5.4.99.16,A0R6E0
6rqa,1.4.1.-,A1B8Z0
6y7f,2.3.1.199,A1L3X0
5xwi,3.1.3.1,A1YYW7
3q3q,3.1.3.1,A1YYW7
5xwk,3.1.3.1,A1YYW7
1jue,1.3.98.1,A2RJT9
1jub,1.3.98.1,A2RJT9
1ovd,1.3.98.1,A2RJT9
1jrb,1.3.98.1,A2RJT9
1dor,1.3.98.1,A2RJT9
1jrc,1.3.98.1,A2RJT9
1jqx,1.3.98.1,A2RJT9
1jqv,1.3.98.1,A2RJT9
2bx7,1.3.98.1,A2RJT9
2bsl,1.3.98.1,A2RJT9
2dor,1.3.98.1,A2RJT9
3ut2,1.11.1.21,A4QUT2
5jhx,1.11.1.21,A4QUT2
5jhy,1.11.1.21,A4QUT2
5jhz,1.11.1.21,A4QUT2
5cjh,1.11.1.21,A4QUT2
2qjm,4.2.1.8,A4XF23
2qjj,4.2.1.8,A4XF23
4k8g,4.2.1.8,A4XF23
4k1w,4.2.1.8,A4XF23
2qjn,4.2.1.8,A4XF23
6pex,1.1.1.26,A5CAL1
4zl4,3.4.23.-,A5K302
6c4g,3.4.23.-,A5K302
8tyf,3.4.23.-,A5K302
8tyg,3.4.23.-,A5K302
6wvv,3.4.11.1;3.4.13.-,A5K3U9
7k5k,3.4.11.1;3.4.13.-,A5K3U9
3emv,2.4.2.1,A5K9M4
